source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,pmra,pmdec,distance_pc,x,y,z,abs_mag,temp_k,radius_solar,star_color
1314438839310796800,251.27624770078947,33.510924834032046,101.56148649807155,0.0150328865,7.4861526,1.6994839,-32.050816,-39.938511514443874,382.224115495703,9.846252102847943,-2.635332241862134,-7.775138609133371,5.436076163613147,7.51979789278106,3516.2039,0.782433385054295,#ffcc6f
522863309964987520,15.668950820681058,62.345451222893885,101.42379529598418,0.016878147,8.671337,2.1754298,-6.2840915,731.0879947758527,90.53173556175588,9.859619205549434,4.406178053687216,1.2359447759869042,8.733276953604246,8.702036417138793,2997.5652,0.6246122500069725,#ffcc6f
522864272041351296,15.839644585280979,62.36589259248621,101.37235858535027,0.047951706,11.927245,3.305438,,730.398009578876,85.9667043087498,9.864622012893701,4.401710993343978,1.248848851765123,8.739341184196133,11.95684289581406,2226.745,0.2528398344200495,#ffcc6f
527956488340229632,8.14303081725879,67.23432836058251,101.08642729912918,0.46074644,9.566636,2.3044653,-3.374065,1748.3189457862784,-347.5892927945718,9.892524908817453,3.789446964340674,0.5422221117327345,9.121849371567757,9.5901003231685,2882.9202,0.4486108535594301,#ffcc6f
4358031335898505472,249.09140230088192,-2.3259612815161246,101.07188811909556,0.050075587,5.5535517,1.0146093,-13.105756,456.0583031942775,-309.2240972920396,9.893947947441871,-3.5280250326558633,-9.234825930840262,-0.40154125905453225,5.5767035679439365,4707.933,1.0679570212457816,#ffd2a1
5699418131466175488,123.79719661239764,-23.737393793190947,101.04081512316355,0.02692017,11.059386,2.77528,45.259007,111.9834917129318,64.29882013488141,9.896990624838601,-5.039506309726083,7.528721485304743,-3.9839869953458544,11.081870459010172,2531.1382,0.2927853103323435,#ffcc6f
1412645602995521920,255.85040248888004,51.40906417008386,100.92736593436285,0.021884069,11.981026,3.1607075,37.171906,124.41003987493283,610.1451510064678,9.90811551200435,-1.5107888314206153,-5.992742118785306,7.744372925151046,12.001070390358926,2302.206,0.231767525551038,#ffcc6f
272855565763652480,69.42278387138005,52.89150297231415,100.91605993172233,0.026600812,7.9525313,1.7984858,33.72583,304.12546543632584,-475.1460368893003,9.909225555145325,2.1012583718828983,5.597064233924252,7.902552519196765,7.97233276776858,3393.576,0.6819827107201064,#ffcc6f
3840711729206827520,142.68324346444365,0.32022324371767896,100.90325241620975,0.02646633,10.501792,2.6514645,46.199398,-569.0163126180901,-549.3860966014009,9.910483319954446,-7.881646838622436,6.007849433476788,0.055388906839907,10.521317779459363,2614.875,0.35513184012377547,#ffcc6f
6792436799475128960,310.464334034236,-32.437036784381455,100.79210677742213,0.072626956,9.575837,3.0309772,-4.064287,246.92898678851384,-417.19484095650307,9.921411824522,5.4341801160412375,-6.370633322017652,-5.321572148771952,9.592969750364833,2374.409,0.660465350893171,#ffcc6f
3243715604392800512,57.6825473764549,-6.100991036847448,100.72988106724877,0.040944874,11.477213,2.8147955,-9.639221,-445.6175561028981,-1371.1957929419207,9.92754075955262,5.277300214490752,8.342236354900168,-1.055111642290264,11.493004511760999,2505.5532,0.24725601892916904,#ffcc6f
4535928365908540416,280.2931336884971,24.787728362716255,100.68500426698174,0.021461897,10.725493,3.098195,,505.34431691358935,87.04490459992638,9.931965611764257,1.6111797213662173,-8.871792802066272,4.1640525087864955,10.740317395127567,2336.4324,0.4021473244415929,#ffcc6f
6109610086872510592,210.96248100755366,-42.699347027825176,100.60251218748147,0.033572633,11.695198,2.9163027,-0.28728175,-379.2833529392459,-290.5102813099834,9.940109628042029,-6.264248251202658,-3.7583592939964845,-6.740898210329874,11.708242188105944,2442.1838,0.23569476924048963,#ffcc6f
4535928365908541440,280.2932736323553,24.789034718675914,100.5552800669169,0.030998288,12.936422,3.5547886,-11.484311,498.68294703980746,57.12772498923583,9.944778626587548,1.6132629796930993,-8.883140634293465,4.169630314733977,12.94844674773453,2107.8738,0.17872138382503838,#ffcc6f
1187851653287128576,223.62310860272,16.100530964762918,100.52427049433877,0.021006696,9.123367,2.281682,-7.9658866,279.117449001282,-117.90818054053803,9.947846376625206,-6.918727972479487,-6.593938659942158,2.758772140769392,9.134721960104704,2902.5044,0.5458394218777861,#ffcc6f
527956488339113600,8.142840068147475,67.23327824206002,100.3966028700123,0.037439648,11.106811,2.6195107,-0.5410245,1703.2256352835657,-250.05623854616192,9.960496385467764,3.8156526846706407,0.54595885695959,9.184454897346358,11.11540565872011,2637.4119,0.2655327273020411,#ffcc6f
1618010323247026560,217.6503357938043,59.72427392962494,100.31097867293174,0.043694653,14.843737,4.7969637,,-808.201789751334,157.396682546083,9.968998540633752,-3.979342770147418,-3.0700795150845344,8.609319066679529,14.850478986450518,1666.3995,0.11909704552057414,#ffcc6f
102162639019033600,38.40513666109431,24.92413187711575,100.14654474186186,0.042935688,11.529306,2.9684,-6.4835854,48.39169781028855,-675.7897086061098,9.98536696975022,7.096150154466578,5.625375211341175,4.20801143504517,11.532486260998004,2410.9114,0.2622378208111336,#ffcc6f
3359074685047632640,99.29143146487576,17.566316517740663,100.02319547433648,0.020844575,8.878268,1.953599,-58.643005,-764.4141395476029,337.88323421402026,9.997680990471613,-1.5389155519401303,9.406417636753384,3.0173947958808998,8.87877186680096,3218.237,0.49953351338101004,#ffcc6f
1205070452055788928,240.70770535248042,20.583654043582936,99.79477183154232,0.032789495,11.167263,2.887002,6.8568945,-961.3158671588086,-1242.6207595090327,10.020565022063893,-4.589723591420837,-8.181369133537858,3.5229759886436054,11.162801978715905,2460.138,0.29859033534475743,#ffcc6f
512167948043650816,26.94267663257596,63.85140778824967,99.59015235307109,0.04383567,5.4103966,0.9710283,2.6153479,581.6839683076576,-246.46226734889734,10.041153431061728,3.9448388729041577,2.0050269557622977,9.013482978272801,5.40147855970478,4813.392,1.1075335093032603,#ffd2a1
1045525233191254784,153.14209679387085,57.06123755178822,99.55846603469661,0.03768391,10.524281,2.6460657,-4.133067,-344.07587513432173,-533.2746855098014,10.044349213370715,-4.872400376452154,2.4674101824542993,8.429742148085591,10.51467153067729,2618.6553,0.3551927390045603,#ffcc6f
